reward_exp,logz,expected_reward,logz_scaled,expected_reward_scaled,scale
1,18.25701904296875,0.34906074835895495,20.449419021606445,0.34906074835895495,8.956676608650445
2,17.204509735107422,0.38008821310493146,19.286724090576172,0.38008748814488924,8.022205587194604
3,16.237157821655273,0.40983361732025814,18.209184646606445,0.40983361732025814,7.1852301132610785
4,15.34515380859375,0.43857958863181407,17.206995010375977,0.4385800068941029,6.435578248321629
5,14.520939826965332,0.4665139365954141,16.27259635925293,0.4665139365954141,5.764139315988193
6,13.758472442626953,0.4937736890252619,15.399942398071289,0.4937732181262011,5.162753178051381
7,13.052794456481934,0.5204592172888088,14.584077835083008,0.5204597136376338,4.624111062608853
8,12.399750709533691,0.5466499176256608,13.82084846496582,0.5466504389518959,4.1416667390270465
9,11.795804023742676,0.572399791869773,13.10671615600586,0.5724003377530135,3.7095569602269114
10,11.237886428833008,0.5977460327173172,12.438613891601562,0.5977454626625498,3.3225302054120815
11,10.723297119140625,0.62270795934676,11.813837051391602,0.6227085532076306,2.975882857234894
12,10.249619483947754,0.647287235216893,11.229974746704102,0.647287235216893,2.6654020377479624
13,9.814654350280762,0.6714694095479034,10.684823989868164,0.6714687691850786,2.3873144084146407
14,9.416367530822754,0.6952217379092541,10.176350593566895,0.6952217379092541,2.1382403119341578
15,9.05284309387207,0.7184988300536295,9.702640533447266,0.7184988300536295,1.9151526985574097
16,8.722251892089844,0.7412413932856714,9.261863708496094,0.7412413932856714,1.7153403377162928
17,8.422822952270508,0.7633849690324234,8.852249145507812,0.7633849690324234,1.5363748678698073
18,8.152830123901367,0.784856970986979,8.472070693969727,0.7848565967381007,1.3760812841167918
19,7.910576343536377,0.8055869480372185,8.119630813598633,0.8055865639035191,1.2325115049050532
20,7.694392204284668,0.8255104246208027,7.79326057434082,0.8255104246208027,1.1039206965875648
21,7.502638816833496,0.8445679757158274,7.491321086883545,0.8445683784373169,0.9887460680930945
22,7.333708763122559,0.862713475221604,7.212205410003662,0.8627130638478602,0.8855878779984515
23,7.186036109924316,0.8799127285562355,6.954346656799316,0.8799127285562355,0.7931924231773114
24,7.058103561401367,0.8961463291555658,6.716228485107422,0.8961463291555658,0.710436802283099
25,6.948451995849609,0.9114077886035835,6.4963908195495605,0.911408223196787,0.6363152688933453
26,6.855687141418457,0.9257038706574687,6.293440341949463,0.925703429247571,0.5699270084624144
27,6.778486251831055,0.9390511913090366,6.106053352355957,0.9390511913090366,0.5104651905333428
28,6.715600967407227,0.9514796529822663,5.932982444763184,0.9514796529822663,0.4572071631580284
29,6.665863990783691,0.9630222923763014,5.773059368133545,0.9630222923763014,0.40950567035649404
30,6.628185272216797,0.9737201321486847,5.625194549560547,0.9737205964547361,0.3667809858791728
31,6.601553916931152,0.9836184980674407,5.488377571105957,0.9836189670934019,0.3285138676721736
32,6.585036754608154,0.9927636029663267,5.361674785614014,0.9927636029663267,0.29423924741966445
33,6.5777740478515625,1.0012023518848279,5.244225978851318,1.001202829295426,0.26354057847106194
34,6.578975677490234,1.0089836708472288,5.135241985321045,1.0089831897264372,0.23604477346219674
35,6.587919235229492,1.0161531873090885,5.033999443054199,1.0161536718488022,0.21141767010630497
36,6.603943347930908,1.0227560485551654,4.93983793258667,1.0227560485551654,0.1893599700496518
37,6.626444339752197,1.0288355213317355,4.8521528244018555,1.0288360119188587,0.16960360143584643
38,6.654871940612793,1.0344330831321595,4.770395278930664,1.0344325898761453,0.15190846097233185
39,6.688725471496582,1.0395856019381402,4.694062232971191,1.0395860976513025,0.13605949590469738
40,6.727547645568848,1.0443304568581033,4.622698783874512,1.0443304568581033,0.12186409043543739
41,6.770923614501953,1.0487008462031104,4.555889129638672,1.0487008462031104,0.10914972482375444
42,6.818475723266602,1.0527280375294996,4.493255615234375,1.0527270335702867,0.09776187871695541
43,6.869860649108887,1.056439174815607,4.434453964233398,1.0564396785651808,0.08756215323218762
44,6.924764633178711,1.0598641660742525,4.379172325134277,1.0598641660742525,0.07842658896578
45,6.982905387878418,1.0630239706210918,4.327127456665039,1.0630234637318834,0.07024415948860449
46,7.044023036956787,1.0659430918634916,4.278059005737305,1.0659430918634916,0.06291542201858949
47,7.107882976531982,1.0686414086744818,4.231733322143555,1.0686414086744818,0.056351308871727165
48,7.174271106719971,1.0711381462474654,4.1879353523254395,1.0711381462474654,0.0504720450038235
49,7.242992877960205,1.073450287938179,4.14647102355957,1.073450287938179,0.045206178487649844
50,7.313870906829834,1.0755935392019345,4.107163429260254,1.0755935392019345,0.040489712142681024
64,8.463090896606445,1.0940179389471365,3.7137818336486816,1.0940174172788557,0.00865767347220905
100,11.975248336791992,1.1078780909920511,3.2592480182647705,1.1078788834084954,0.00016394167893971724
