reward_exp,logz,expected_reward,logz_scaled,expected_reward_scaled,scale
1,18.164627075195312,0.33149670116110136,20.452573776245117,0.33149670116110136,9.854686663361921
2,17.060489654541016,0.3693361870759941,19.333799362182617,0.3693361870759941,9.711484923304335
3,16.064441680908203,0.40371067503957325,18.3231143951416,0.4037099050233035,9.570364095512758
4,15.157384872436523,0.43550988148552494,17.401418685913086,0.43550988148552494,9.431293941556737
5,14.326147079467773,0.46524901755242704,16.5555419921875,0.46524901755242704,9.294244662410525
6,13.560964584350586,0.4932578530383549,15.77572250366211,0.49325738263123337,9.15918689206797
7,12.854241371154785,0.5197647929466567,15.054361343383789,0.5197647929466567,9.026091691250159
8,12.199862480163574,0.5449410809172317,14.385343551635742,0.5449416006137924,8.894930541204475
9,11.592784881591797,0.5689167809149239,13.763628005981445,0.5689162383538605,8.765675337593837
10,11.028763771057129,0.5917948385772078,13.184968948364258,0.5917948385772078,8.638298384474652
11,10.504168510437012,0.6136585972899201,12.645736694335938,0.6136580120597559,8.512772388362317
12,10.015851974487305,0.6345744858228293,12.142782211303711,0.6345738806457288,8.389070452382976
13,9.561051368713379,0.6545938009360408,11.673343658447266,0.6545938009360408,8.267166070510205
14,9.137310981750488,0.6737619721774705,11.234964370727539,0.6737619721774705,8.147033121885512
15,8.742432594299316,0.6921132002521613,10.825448989868164,0.6921132002521613,8.028645865221298
16,8.37442684173584,0.7096744653660658,10.442804336547852,0.7096744653660658,7.911978933285214
17,8.031477928161621,0.7264668438935453,10.085217475891113,0.7264671903000133,7.797007327464629
18,7.711915493011475,0.7425113706458567,9.751017570495605,0.7425113706458567,7.683706412410085
19,7.414198398590088,0.7578188938275556,9.4386625289917,0.7578192551838495,7.572051910756612
20,7.136887550354004,0.7724045029326135,9.146713256835938,0.7724048712438696,7.462019897921736
21,6.878640651702881,0.7862789065841359,8.873828887939453,0.7862785316572259,7.3535867969790605
22,6.63819694519043,0.7994535196082128,8.618746757507324,0.799453900817448,7.246729373606385
23,6.414370059967041,0.8119416373739483,8.380282402038574,0.8119412502100977,7.141424731107194
24,6.206043243408203,0.8237570750756529,8.157318115234375,0.8237566822777638,7.037650305504506
25,6.0121636390686035,0.8349159537328404,7.948800086975098,0.8349159537328404,6.935383860706021
26,5.83173942565918,0.8454354801029197,7.753737926483154,0.8454354801029197,6.834603483739513
27,5.6638360023498535,0.8553367622811676,7.571196556091309,0.8553367622811676,6.73528758005747
28,5.507575988769531,0.8646416791557023,7.400298595428467,0.8646416791557023,6.637414868909954
29,5.362135887145996,0.8733733170810485,7.240220546722412,0.8733733170810485,6.540964378784704
30,5.226743698120117,0.8815581602977496,7.090190410614014,0.8815581602977496,6.445915442913502
31,5.100679397583008,0.8892220713630726,6.949488162994385,0.8892220713630726,6.352247694843833
32,4.98327112197876,0.8963907871691436,6.817441940307617,0.8963907871691436,6.259941064074903
33,4.873892307281494,0.9030934994650961,6.693425178527832,0.9030934994650961,6.168975771757058
34,4.771963119506836,0.9093553468973044,6.576858043670654,0.9093549132829882,6.0793323264537085
35,4.676943778991699,0.9152040208791792,6.46720027923584,0.9152044572825677,5.990991519964838
36,4.5883355140686035,0.9206656933549275,6.363954544067383,0.9206656933549275,5.903934423211184
37,4.505677223205566,0.9257647872421269,6.266658306121826,0.9257647872421269,5.818142382178261
38,4.428542137145996,0.9305259901474935,6.174885272979736,0.9305259901474935,5.7335970139192876
39,4.356536865234375,0.9349727878657206,6.088242053985596,0.9349723420360597,5.650280202616213
40,4.289299011230469,0.9391255248181752,6.006365776062012,0.9391255248181752,5.568174095697989
41,4.226492881774902,0.9430061810431876,5.928921699523926,0.9430061810431876,5.48726110001523
42,4.167810440063477,0.9466333547573493,5.8556013107299805,0.9466338061474157,5.407523878070475
43,4.112967014312744,0.9500257462966486,5.786120414733887,0.9500257462966486,5.328945344303225
44,4.061700820922852,0.9532007339295905,5.720216274261475,0.9532002794081698,5.251508661428958
45,4.013771057128906,0.9561715614004015,5.657648086547852,0.9561720173386402,5.175197236831357
46,3.9689531326293945,0.9589559182668927,5.5981926918029785,0.9589559182668927,5.099994719006944
47,3.9270429611206055,0.9615658787045791,5.54164457321167,0.9615658787045791,5.025884994061395
48,3.887850761413574,0.964013996235098,5.487814426422119,0.9640142260739727,4.952852182256766
49,3.851201295852661,0.9663123621328011,5.436527252197266,0.9663121317460083,4.8808806346088724
50,3.8169331550598145,0.9684707288910411,5.38762092590332,0.9684709597924838,4.809954929534153
64,3.520394802093506,0.9884632325629393,4.886151313781738,0.9884632325629393,3.918686212569122
100,3.472273588180542,1.0052630633697817,4.311063766479492,1.005262823696419,2.3135666424149894
